,Sample ID,Temp,pHNBS,AT1,AT2,mV1,mv2,pHTS1,pHTS2,Mean pHTS,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite,flag,S,T,pH_insitu
1,ML1P1R1_20,20.9,7.95,2525.64415,2521.2861,-56.56840515,-56.57197571,7.962862888,7.962923587,7.962893237,1.68E-05,540.0292,541.8477,540.0292,541.8477,540.0292,541.8477,0.002063,0.000188,0.002268,0.002523,2.875143,4.398856,8,38,20.9,7.962883213
2,ML1P1R2_20,20.7,7.98,2535.53921,2535.35106,-56.97013474,-57.19153214,7.96969229,7.973456046,7.971574168,1.66E-05,530.0505,531.8397,530.0505,531.8397,530.0505,531.8398,0.002069,0.000191,0.002276,0.002535,2.916859,4.465102,8,38,20.7,7.971564531
3,ML1P2R1_20,20.5,7.55,2534.66392,2516.07154,-39.94874191,-39.47976303,7.680328613,7.672355972,7.676342292,3.60E-05,1145.472,1149.351,1145.472,1149.351,1145.472,1149.351,0.002268,0.000105,0.002409,0.002525,1.607368,2.461872,8,38,20.5,7.676314826
4,ML1P2R2_20,20.7,7.54,2471.93273,2471.799,-38.56918335,-39.83209229,7.656876117,7.678345569,7.667610843,3.59E-05,1146.417,1150.29,1146.417,1150.29,1146.417,1150.29,0.002222,0.000102,0.00236,0.002472,1.556017,2.381937,8,38,20.7,7.667581958
5,ML2P1R1_20,20.6,7.97,2499.35971,2500.7397,-56.90823746,-56.89395523,7.968640037,7.968397239,7.968518638,1.65E-05,526.7942,528.5747,526.7942,528.5747,526.7942,528.5747,0.002043,0.000187,0.002246,0.0025,2.848565,4.361736,8,38,20.6,7.968508809
6,ML2P1R2_20,20.5,7.97,2499.34378,2496.83552,-57.06179047,-57.07012177,7.971250438,7.97139207,7.971321254,1.64E-05,522.3891,524.1569,522.3891,524.1569,522.3891,524.1569,0.00204,0.000187,0.002243,0.002498,2.851563,4.367501,8,38,20.5,7.971311539
7,ML2P2R1_20,20.8,7.52,2472.62231,2472.30285,-39.77019882,-40.08503342,7.67729338,7.682645568,7.679969474,3.47E-05,1111.544,1115.294,1111.544,1115.294,1111.544,1115.294,0.002215,0.000105,0.002355,0.002472,1.602574,2.452542,8,38,20.8,7.679941691
8,ML2P2R2_20,20.5,7.54,2506.58495,2498.59898,-40.7408905,-41.02775192,7.693795139,7.698671783,7.696233461,3.39E-05,1078.968,1082.622,1078.968,1082.622,1078.968,1082.622,0.002236,0.000109,0.002379,0.002503,1.659289,2.541395,8,38,20.5,7.696207593
9,ML1P1R1_24,25.4,7.94,2512.13766,2514.88069,-56.86003113,-56.98084641,7.967820529,7.969874389,7.968847459,1.46E-05,526.2083,527.8848,526.2083,527.8848,526.2083,527.8848,0.001985,0.000217,0.002216,0.002514,3.369501,5.087917,8,38,25.4,7.968836716
10,ML1P1R2_24,25.6,7.91,2512.63124,2513.9191,-56.62196732,-56.62494659,7.963773444,7.963824092,7.963798768,1.47E-05,533.4151,535.1105,533.4151,535.1105,533.4151,535.1105,0.001986,0.000216,0.002217,0.002513,3.360762,5.071553,8,38,25.6,7.963787783
11,ML1P2R1_24,25.5,7.49,2488.15563,2488.18145,-44.41000366,-43.9803009,7.756170062,7.748865115,7.752517589,2.58E-05,934.389,937.3638,934.389,937.3638,934.389,937.3639,0.00214,0.000143,0.002309,0.002488,2.217209,3.346922,8,38,25.5,7.752493865
12,ML1P2R2_24,25.4,7.48,2555.17094,2554.99168,-44.66889572,-44.50582123,7.760571227,7.757798961,7.759185094,2.61E-05,943.4401,946.4475,943.4401,946.4475,943.4401,946.4475,0.002196,0.000148,0.00237,0.002555,2.300369,3.473538,8,38,25.4,7.759162439
13,ML2P1R1_24,25.4,7.94,2510.51616,2512.22776,-56.98382187,-57.3736496,7.969924972,7.976552043,7.973238507,1.44E-05,519.3387,520.9934,519.3387,520.9934,519.3387,520.9934,0.001979,0.000218,0.002211,0.002511,3.393444,5.124071,8,38,25.4,7.973227924
14,ML2P1R2_24,25.3,7.93,2507.95928,2508.41762,-57.29925537,-57.28616333,7.975287341,7.975064777,7.975176059,1.43E-05,515.9556,517.6015,515.9556,517.6015,515.9556,517.6015,0.001976,0.000218,0.002208,0.002508,3.389592,5.119847,8,38,25.3,7.97516556
15,ML2P2R1_24,25.5,7.51,2517.40563,2515.61425,-44.46773148,-44.92302322,7.757151435,7.764891395,7.761021415,2.55E-05,924.4191,927.3622,924.4191,927.3622,924.4191,927.3622,0.002159,0.000147,0.002332,0.002517,2.281158,3.443455,8,38,25.5,7.760998603
16,ML2P2R2_24,25.6,7.47,2517.44672,2517.02952,-44.21479416,-43.93268967,7.752851501,7.748055724,7.750453613,2.62E-05,950.7883,953.8117,950.7883,953.8117,950.7883,953.8118,0.002166,0.000144,0.002337,0.002517,2.242673,3.384303,8,38,25.6,7.75042988
