Event,Study_type,Species,Species.UID.URL,Date.start.of.experiment,Date.end.of.experiment,Experiment,Treatment,Individual,body_length_um,growth_rate_um/day,T_target,pH_target,Li_target,T_measured,pH_TS_insitu,Lithium_measured_mg/L,pH_NBS,temp,TA1,TA2,meanALK,pHTS1,pHTS2,mean_pH_TS,flag_seacarb,S,Patm,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
P_lividus_2022,Laboratory microcosm experiment,Paracentrotus lividus,marinespecies.org/aphia.php?p=taxdetails&id=124326,27-10-2022,31-10-2022,experiment1_single_driver,SL1,1,375.664,72.666,20,8.1,0.18,19.7,7.982090787,0.19,8.01,20.1,2514.823,2517.818,2516.3205,7.9905,7.9737,7.9821,8,38,1,1.63E-05,511.19776,512.93629,511.19776,512.93629,511.19776,512.93629,0.002051592,0.000189728,0.002257576,0.002516321,2.892245909,4.43454237
P_lividus_2022,Laboratory microcosm experiment,Paracentrotus lividus,marinespecies.org/aphia.php?p=taxdetails&id=124326,27-10-2022,31-10-2022,experiment1_single_driver,SL1,2,391.75,76.6875,20,8.1,0.18,19.7,7.982090787,0.19,8.01,20.1,2514.823,2517.818,2516.3205,7.9905,7.9737,7.9821,8,38,1,1.63E-05,511.19776,512.93629,511.19776,512.93629,511.19776,512.93629,0.002051592,0.000189728,0.002257576,0.002516321,2.892245909,4.43454237
P_lividus_2022,Laboratory microcosm experiment,Paracentrotus lividus,marinespecies.org/aphia.php?p=taxdetails&id=124326,27-10-2022,31-10-2022,experiment1_single_driver,SL1,3,363.253,69.56325,20,8.1,0.18,19.7,7.982090787,0.19,8.01,20.1,2514.823,2517.818,2516.3205,7.9905,7.9737,7.9821,8,38,1,1.63E-05,511.19776,512.93629,511.19776,512.93629,511.19776,512.93629,0.002051592,0.000189728,0.002257576,0.002516321,2.892245909,4.43454237
P_lividus_2022,Laboratory microcosm experiment,Paracentrotus lividus,marinespecies.org/aphia.php?p=taxdetails&id=124326,27-10-2022,31-10-2022,experiment1_single_driver,SL1,4,351.954,66.7385,20,8.1,0.18,19.7,7.982090787,0.19,8.01,20.1,2514.823,2517.818,2516.3205,7.9905,7.9737,7.9821,8,38,1,1.63E-05,511.19776,512.93629,511.19776,512.93629,511.19776,512.93629,0.002051592,0.000189728,0.002257576,0.002516321,2.892245909,4.43454237
P_lividus_2022,Laboratory microcosm experiment,Paracentrotus lividus,marinespecies.org/aphia.php?p=taxdetails&id=124326,27-10-2022,31-10-2022,experiment1_single_driver,SL1,5,411.06,81.515,20,8.1,0.18,19.7,7.982090787,0.19,8.01,20.1,2514.823,2517.818,2516.3205,7.9905,7.9737,7.9821,8,38,1,1.63E-05,511.19776,512.93629,511.19776,512.93629,511.19776,512.93629,0.002051592,0.000189728,0.002257576,0.002516321,2.892245909,4.43454237
P_lividus_2022,Laboratory microcosm experiment,Paracentrotus lividus,marinespecies.org/aphia.php?p=taxdetails&id=124326,27-10-2022,31-10-2022,experiment1_single_driver,SL1,6,361.561,69.14025,20,8.1,0.18,19.7,7.982090787,0.19,8.01,20.1,2514.823,2517.818,2516.3205,7.9905,7.9737,7.9821,8,38,1,1.63E-05,511.19776,512.93629,511.19776,512.93629,511.19776,512.93629,0.002051592,0.000189728,0.002257576,0.002516321,2.892245909,4.43454237
P_lividus_2022,Laboratory microcosm experiment,Paracentrotus lividus,marinespecies.org/aphia.php?p=taxdetails&id=124326,27-10-2022,31-10-2022,experiment1_single_driver,SL1,7,380.694,73.9235,20,8.1,0.18,19.7,7.982090787,0.19,8.01,20.1,2514.823,2517.818,2516.3205,7.9905,7.9737,7.9821,8,38,1,1.63E-05,511.19776,512.93629,511.19776,512.93629,511.19776,512.93629,0.002051592,0.000189728,0.002257576,0.002516321,2.892245909,4.43454237
P_lividus_2022,Laboratory microcosm experiment,Paracentrotus lividus,marinespecies.org/aphia.php?p=taxdetails&id=124326,27-10-2022,31-10-2022,experiment1_single_driver,SL1,8,405.691,80.17275,20,8.1,0.18,19.7,7.982090787,0.19,8.01,20.1,2514.823,2517.818,2516.3205,7.9905,7.9737,7.9821,8,38,1,1.63E-05,511.19776,512.93629,511.19776,512.93629,511.19776,512.93629,0.002051592,0.000189728,0.002257576,0.002516321,2.892245909,4.43454237
P_lividus_2022,Laboratory microcosm experiment,Paracentrotus lividus,marinespecies.org/aphia.php?p=taxdetails&id=124326,27-10-2022,31-10-2022,experiment1_single_driver,SL1,9,366.065,70.26625,20,8.1,0.18,19.7,7.982090787,0.19,8.01,20.1,2514.823,2517.818,2516.3205,7.9905,7.9737,7.9821,8,38,1,1.63E-05,511.19776,512.93629,511.19776,512.93629,511.19776,512.93629,0.002051592,0.000189728,0.002257576,0.002516321,2.892245909,4.43454237
P_lividus_2022,Laboratory microcosm experiment,Paracentrotus lividus,marinespecies.org/aphia.php?p=taxdetails&id=124326,27-10-2022,31-10-2022,experiment1_single_driver,SL1,10,416.68,82.92,20,8.1,0.18,19.7,7.982090787,0.19,8.01,20.1,2514.823,2517.818,2516.3205,7.9905,7.9737,7.9821,8,38,1,1.63E-05,511.19776,512.93629,511.19776,512.93629,511.19776,512.93629,0.002051592,0.000189728,0.002257576,0.002516321,2.892245909,4.43454237
